swell_info,time,wind_direction,wind_speed,wind_state
"[{""period"":11,""angle"":234.0,""letters"":""NE"",""height"":3.0},{""period"":11,""angle"":342.0,""letters"":""SSE"",""height"":0.3},{""period"":15,""angle"":-0.0,""letters"":""S"",""height"":0.1},{""period"":8,""angle"":312.0,""letters"":""SE"",""height"":2.4}]",Wednesday 26 2PM,SE,20.0,cross-on
"[{""period"":11,""angle"":230.0,""letters"":""NE"",""height"":2.5},{""period"":11,""angle"":326.0,""letters"":""SE"",""height"":0.4},{""period"":15,""angle"":-0.0,""letters"":""S"",""height"":0.1},{""period"":8,""angle"":310.0,""letters"":""SE"",""height"":2.3}]",Wednesday 26 5PM,SE,15.0,cross-on
"[{""period"":11,""angle"":228.0,""letters"":""NE"",""height"":2.5},{""period"":11,""angle"":315.0,""letters"":""SE"",""height"":0.3},{""period"":14,""angle"":-0.0,""letters"":""S"",""height"":0.1},{""period"":8,""angle"":313.0,""letters"":""SE"",""height"":2.2}]",Wednesday 26 8PM,SE,15.0,cross-on
"[{""period"":11,""angle"":230.0,""letters"":""NE"",""height"":2.3},{""period"":8,""angle"":315.0,""letters"":""SE"",""height"":2.0},null,{""period"":8,""angle"":307.0,""letters"":""SE"",""height"":2.1}]",Wednesday 26 11PM,SSE,10.0,cross-on
"[{""period"":10,""angle"":229.0,""letters"":""NE"",""height"":2.1},{""period"":14,""angle"":-0.0,""letters"":""S"",""height"":0.1},null,{""period"":8,""angle"":311.0,""letters"":""SE"",""height"":2.0}]",Thursday 27 2AM,S,10.0,cross
"[{""period"":10,""angle"":231.0,""letters"":""NE"",""height"":2.1},{""period"":10,""angle"":225.0,""letters"":""NE"",""height"":2.0},null,{""period"":8,""angle"":313.0,""letters"":""SE"",""height"":2.1}]",Thursday 27 5AM,SSW,10.0,cross-off
"[{""period"":8,""angle"":313.0,""letters"":""SE"",""height"":2.2},{""period"":10,""angle"":229.0,""letters"":""NE"",""height"":1.8},null,{""period"":8,""angle"":313.0,""letters"":""SE"",""height"":2.2}]",Thursday 27 8AM,SSW,10.0,cross-off
"[{""period"":8,""angle"":313.0,""letters"":""SE"",""height"":2.2},{""period"":10,""angle"":230.0,""letters"":""NE"",""height"":1.7},null,{""period"":8,""angle"":310.0,""letters"":""SE"",""height"":2.5}]",Thursday 27 11AM,SW,5.0,cross-off
"[{""period"":9,""angle"":313.0,""letters"":""SE"",""height"":2.3},{""period"":10,""angle"":230.0,""letters"":""NE"",""height"":1.6},null,{""period"":9,""angle"":310.0,""letters"":""SE"",""height"":2.5}]",Thursday 27 2PM,WSW,5.0,glass
"[{""period"":9,""angle"":313.0,""letters"":""SE"",""height"":2.3},{""period"":10,""angle"":231.0,""letters"":""NE"",""height"":1.4},null,null]",Thursday 27 5PM,SSW,0.0,glass
